KEYWORD,UK PRONUNCIATION,US PRONUNCIATION,URL
liver,[ˈlɪvə(r)],[ˈlɪvər],https://dict.youdao.com/w/eng/liver/#keyfrom=dict2
M,[em],[em],https://dict.youdao.com/w/eng/M/#keyfrom=dict2
main,[meɪn],[meɪn],https://dict.youdao.com/w/eng/main/#keyfrom=dict2
make,[meɪk],[meɪk],https://dict.youdao.com/w/eng/make/#keyfrom=dict2
meet,[miːt],[miːt],https://dict.youdao.com/w/eng/meet/#keyfrom=dict2
N,[en],[en],https://dict.youdao.com/w/eng/N/#keyfrom=dict2
need,[niːd],[niːd],https://dict.youdao.com/w/eng/need/#keyfrom=dict2
O,[əʊ],[oʊ],https://dict.youdao.com/w/eng/O/#keyfrom=dict2
P,[piː],[piː],https://dict.youdao.com/w/eng/P/#keyfrom=dict2
peg,[peɡ],[peɡ],https://dict.youdao.com/w/eng/peg/#keyfrom=dict2
pen,[pen],[pen],https://dict.youdao.com/w/eng/pen/#keyfrom=dict2
pig,[pɪɡ],[pɪɡ],https://dict.youdao.com/w/eng/pig/#keyfrom=dict2
plane,[pleɪn],[pleɪn],https://dict.youdao.com/w/eng/plane/#keyfrom=dict2
Q,[kjuː],[kjuː],https://dict.youdao.com/w/eng/Q/#keyfrom=dict2
R,[ɑː(r)],[ɑːr],https://dict.youdao.com/w/eng/R/#keyfrom=dict2
S,[es],[es],https://dict.youdao.com/w/eng/S/#keyfrom=dict2
saint,[seɪnt; snt],[seɪnt],https://dict.youdao.com/w/eng/saint/#keyfrom=dict2
set,[set],[set],https://dict.youdao.com/w/eng/set/#keyfrom=dict2
sex,[seks],[seks],https://dict.youdao.com/w/eng/sex/#keyfrom=dict2
sheep,[ʃiːp],[ʃiːp],https://dict.youdao.com/w/eng/sheep/#keyfrom=dict2
ship,[ʃɪp],[ʃɪp],https://dict.youdao.com/w/eng/ship/#keyfrom=dict2
shit,[ʃɪt],[ʃɪt],https://dict.youdao.com/w/eng/shit/#keyfrom=dict2
sister,[ˈsɪstə(r)],[ˈsɪstər],https://dict.youdao.com/w/eng/sister/#keyfrom=dict2
sit,[sɪt],[sɪt],https://dict.youdao.com/w/eng/sit/#keyfrom=dict2
six,[sɪks],[sɪks],https://dict.youdao.com/w/eng/six/#keyfrom=dict2
sleepy,[ˈsliːpi],[ˈsliːpi],https://dict.youdao.com/w/eng/sleepy/#keyfrom=dict2
T,[tiː],[tiː],https://dict.youdao.com/w/eng/T/#keyfrom=dict2
thief,[θiːf],[θiːf],https://dict.youdao.com/w/eng/thief/#keyfrom=dict2
tidy,[ˈtaɪdi],[ˈtaɪdi],https://dict.youdao.com/w/eng/tidy/#keyfrom=dict2
train,[treɪn],[treɪn],https://dict.youdao.com/w/eng/train/#keyfrom=dict2
U,[juː],[juː],https://dict.youdao.com/w/eng/U/#keyfrom=dict2
V,[viː],[viː],https://dict.youdao.com/w/eng/V/#keyfrom=dict2
W,[ˈdʌbljuː],[ˈdʌbljuː],https://dict.youdao.com/w/eng/W/#keyfrom=dict2
X,[eks],[eks],https://dict.youdao.com/w/eng/X/#keyfrom=dict2
Y,[waɪ],[waɪ],https://dict.youdao.com/w/eng/Y/#keyfrom=dict2
Z,[zed],[ziː],https://dict.youdao.com/w/eng/Z/#keyfrom=dict2
