WORD,UK PRONUNCIATION,US PRONUNCIATION,URL,TRANSLATE
absolutely,[ˈæbsəluːtli],[ˈæbsəluːtli],https://dict.youdao.com/w/eng/absolutely/#keyfrom=dict2,adv.绝对，完全
absorb,[əbˈzɔːb],[əbˈzɔːrb],https://dict.youdao.com/w/eng/absorb/#keyfrom=dict2,v.吸收，专心于
absorption,[əbˈzɔːpʃn; əbˈsɔːpʃn],[əbˈzɔːrpʃnˌəbˈsɔːrpʃn],https://dict.youdao.com/w/eng/absorption/#keyfrom=dict2,n.吸收，专注
abstract,[ˈæbstrækt],[ˈæbstrækt],https://dict.youdao.com/w/eng/abstract/#keyfrom=dict2,adj.抽象的，难懂的
abstraction,[æbˈstrækʃn],[æbˈstrækʃn],https://dict.youdao.com/w/eng/abstraction/#keyfrom=dict2,n.抽象，提取
absurd,[əbˈsɜːd],[əbˈsɜːrd],https://dict.youdao.com/w/eng/absurd/#keyfrom=dict2,adj.荒唐的
absurdity,[əbˈsɜːdəti],[əbˈsɜːrdəti],https://dict.youdao.com/w/eng/absurdity/#keyfrom=dict2,n.荒唐(事)
abundance,[əˈbʌndəns],[əˈbʌndəns],https://dict.youdao.com/w/eng/abundance/#keyfrom=dict2,n.丰富，大量
abundant,[əˈbʌndənt],[əˈbʌndənt],https://dict.youdao.com/w/eng/abundant/#keyfrom=dict2,adj.丰富的，充裕的
abuse,[əˈbjuːs],[əˈbjuːs],https://dict.youdao.com/w/eng/abuse/#keyfrom=dict2,v.滥用，谩骂
academic,[ˌækəˈdemɪk],[ˌækəˈdemɪk],https://dict.youdao.com/w/eng/academic/#keyfrom=dict2,adj.学院的，学术的
academy,[əˈkædəmi],[əˈkædəmi],https://dict.youdao.com/w/eng/academy/#keyfrom=dict2,n.学院，研究院
accede,[əkˈsiːd],[əkˈsiːd],https://dict.youdao.com/w/eng/accede/#keyfrom=dict2,v.同意
accelerate,[əkˈseləreɪt],[əkˈseləreɪt],https://dict.youdao.com/w/eng/accelerate/#keyfrom=dict2,v.加速，加快
acceleration,[əkˌseləˈreɪʃ(ə)n],[əkˌseləˈreɪʃn],https://dict.youdao.com/w/eng/acceleration/#keyfrom=dict2,v.加速，促进
accent,[ˈæksent],[ˈæksent],https://dict.youdao.com/w/eng/accent/#keyfrom=dict2,n.腔调 v.重读
accept,[əkˈsept],[əkˈsept],https://dict.youdao.com/w/eng/accept/#keyfrom=dict2,v.接受，同意
acceptable,[əkˈseptəb(ə)l],[əkˈseptəbl],https://dict.youdao.com/w/eng/acceptable/#keyfrom=dict2,adj.可接受的，合意的
acceptance,[əkˈseptəns],[əkˈseptəns],https://dict.youdao.com/w/eng/acceptance/#keyfrom=dict2,n.接受，承兑
access,[ˈækses],[ˈækses],https://dict.youdao.com/w/eng/access/#keyfrom=dict2,n.接近，入口
accessible,[əkˈsesəb(ə)l],[əkˈsesəb(ə)l],https://dict.youdao.com/w/eng/accessible/#keyfrom=dict2,adj.可接近的
accessory,[əkˈsesəri],[əkˈsesəri],https://dict.youdao.com/w/eng/accessory/#keyfrom=dict2,n.附件，装饰品
accident,[ˈæksɪdənt],[ˈæksɪdənt],https://dict.youdao.com/w/eng/accident/#keyfrom=dict2,n.事故，意外之事
accidental,[ˌæksɪˈdent(ə)l],[ˌæksɪˈdentl],https://dict.youdao.com/w/eng/accidental/#keyfrom=dict2,adj.意外的，偶然的
accidentally,[ˌæksɪˈdentəli],[ˌæksɪˈdentəli],https://dict.youdao.com/w/eng/accidentally/#keyfrom=dict2,adv.偶尔，附带
accommodate,[əˈkɒmədeɪt],[əˈkɑːmədeɪt],https://dict.youdao.com/w/eng/accommodate/#keyfrom=dict2,v.提供便利，拆借
accommodation,[əˌkɒməˈdeɪʃ(ə)n],[əˌkɑːməˈdeɪʃn],https://dict.youdao.com/w/eng/accommodation/#keyfrom=dict2,n.便利，通融
accompaniment,[əˈkʌmpənimənt],[əˈkʌmpənimənt],https://dict.youdao.com/w/eng/accompaniment/#keyfrom=dict2,n.伴侣，伴奏
accompany,[əˈkʌmpəni],[əˈkʌmpəni],https://dict.youdao.com/w/eng/accompany/#keyfrom=dict2,v.伴随，伴奏
accomplish,[əˈkʌmplɪʃ],[əˈkɑːmplɪʃ],https://dict.youdao.com/w/eng/accomplish/#keyfrom=dict2,v.完成，达到
accomplishment,[əˈkʌmplɪʃmənt],[əˈkɑːmplɪʃmənt],https://dict.youdao.com/w/eng/accomplishment/#keyfrom=dict2,n.成就
accord,[əˈkɔːd],[əˈkɔːrd],https://dict.youdao.com/w/eng/accord/#keyfrom=dict2,v.符合，协调
accordance,[əˈkɔːd(ə)ns],[əˈkɔːrdns],https://dict.youdao.com/w/eng/accordance/#keyfrom=dict2,n.按照，与一致
according,[əˈkɔːdɪŋ],[əˈkɔːrdɪŋ],https://dict.youdao.com/w/eng/according/#keyfrom=dict2,adj.按照，据说
accordingly,[əˈkɔːdɪŋli],[əˈkɔːrdɪŋli],https://dict.youdao.com/w/eng/accordingly/#keyfrom=dict2,adj.相应地，从而
account,[əˈkaʊnt],[əˈkaʊnt],https://dict.youdao.com/w/eng/account/#keyfrom=dict2,n.账目 v.说明
accountant,[əˈkaʊntənt],[əˈkaʊntənt],https://dict.youdao.com/w/eng/accountant/#keyfrom=dict2,n.会计(师)
accounting,[əˈkaʊntɪŋ],[əˈkaʊntɪŋ],https://dict.youdao.com/w/eng/accounting/#keyfrom=dict2,n.会计学
accrue,[əˈkruː],[əˈkruː],https://dict.youdao.com/w/eng/accrue/#keyfrom=dict2,v.产生，发生
accrued,[əˈkrʊd],[əˈkruːd],https://dict.youdao.com/w/eng/accrued/#keyfrom=dict2,adj.增值的，应计的
accumulate,[əˈkjuːmjəleɪt],[əˈkjuːmjəleɪt],https://dict.youdao.com/w/eng/accumulate/#keyfrom=dict2,v.积累，积蓄
accumulation,[əˌkjuːmjəˈleɪʃn],[əˌkjuːmjəˈleɪʃn],https://dict.youdao.com/w/eng/accumulation/#keyfrom=dict2,n.积累
accumulative,[əˈkjuːmjələtɪv],[əˈkjuːmjələtɪv],https://dict.youdao.com/w/eng/accumulative/#keyfrom=dict2,adj.积累的
accuracy,[ˈækjərəsi],[ˈækjərəsi],https://dict.youdao.com/w/eng/accuracy/#keyfrom=dict2,n.准确(性)
accurate,[ˈækjərət],[ˈækjərət],https://dict.youdao.com/w/eng/accurate/#keyfrom=dict2,adj.准确的，精密的
accurately,[ˈækjərətli],[ˈækjərətli],https://dict.youdao.com/w/eng/accurately/#keyfrom=dict2,adj.准确地
accusation,[ˌækjuˈzeɪʃn],[ˌækjuˈzeɪʃn],https://dict.youdao.com/w/eng/accusation/#keyfrom=dict2,n.控告
accuse,[əˈkjuːz],[əˈkjuːz],https://dict.youdao.com/w/eng/accuse/#keyfrom=dict2,v.告发，指责
accustom,[əˈkʌstəm],[əˈkʌstəm],https://dict.youdao.com/w/eng/accustom/#keyfrom=dict2,v.使习惯于
ache,[eɪk],[eɪk],https://dict.youdao.com/w/eng/ache/#keyfrom=dict2,v.觉得疼 n.疼痛
achieve,[əˈtʃiːv],[əˈtʃiːv],https://dict.youdao.com/w/eng/achieve/#keyfrom=dict2,v.完成，实现
achievement,[əˈtʃiːvmənt],[əˈtʃiːvmənt],https://dict.youdao.com/w/eng/achievement/#keyfrom=dict2,n.完成，成就
aching,[ˈeɪkɪŋ],[ˈeɪkɪŋ],https://dict.youdao.com/w/eng/aching/#keyfrom=dict2,adj.疼痛的
acid,[ˈæsɪd],[ˈæsɪd],https://dict.youdao.com/w/eng/acid/#keyfrom=dict2,n.酸
acknowledge,[əkˈnɒlɪdʒ],[əkˈnɑːlɪdʒ],https://dict.youdao.com/w/eng/acknowledge/#keyfrom=dict2,v.承认，鸣谢
acknowledgment,[ək'nɒlɪdʒmənt],[əkˈnɑːlɪdʒmənt],https://dict.youdao.com/w/eng/acknowledgment/#keyfrom=dict2,n.承认，鸣谢，回执
acquaint,[əˈkweɪnt],[əˈkweɪnt],https://dict.youdao.com/w/eng/acquaint/#keyfrom=dict2,n.使熟悉，相识
acquaintance,[əˈkweɪntəns],[əˈkweɪntəns],https://dict.youdao.com/w/eng/acquaintance/#keyfrom=dict2,n.熟悉人，相识
acquainted,[əˈkweɪntɪd],[əˈkweɪntɪd],https://dict.youdao.com/w/eng/acquainted/#keyfrom=dict2,adj.熟悉的
acquire,[əˈkwaɪə(r)],[əˈkwaɪər],https://dict.youdao.com/w/eng/acquire/#keyfrom=dict2,v.求得，获得
acquisition,[ˌækwɪˈzɪʃ(ə)n],[ˌækwɪˈzɪʃn],https://dict.youdao.com/w/eng/acquisition/#keyfrom=dict2,n.获得
acre,[ˈeɪkə(r)],[ˈeɪkər],https://dict.youdao.com/w/eng/acre/#keyfrom=dict2,n.英亩
acrobat,[ˈækrəbæt],[ˈækrəbæt],https://dict.youdao.com/w/eng/acrobat/#keyfrom=dict2,n.杂技演员
acrobatics,[ˌækrəˈbætɪks],[ˌækrəˈbætɪks],https://dict.youdao.com/w/eng/acrobatics/#keyfrom=dict2,n.杂技
across,[əˈkrɒs],[əˈkrɔːs],https://dict.youdao.com/w/eng/across/#keyfrom=dict2,prep.横越 adv.横穿
act,[ækt],[ækt],https://dict.youdao.com/w/eng/act/#keyfrom=dict2,n.行为，法令 v.表演
action,[ˈækʃ(ə)n],[ˈækʃ(ə)n],https://dict.youdao.com/w/eng/action/#keyfrom=dict2,n.行为，行动
activate,[ˈæktɪveɪt],[ˈæktɪveɪt],https://dict.youdao.com/w/eng/activate/#keyfrom=dict2,v.使活跃，开动
active,[ˈæktɪv],[ˈæktɪv],https://dict.youdao.com/w/eng/active/#keyfrom=dict2,adj.活跃的，积极的
actively,[ˈæktɪvli],[ˈæktɪvli],https://dict.youdao.com/w/eng/actively/#keyfrom=dict2,adv.积极地，活跃地
activity,[ækˈtɪvəti],[ækˈtɪvəti],https://dict.youdao.com/w/eng/activity/#keyfrom=dict2,n.活动
actor,[ˈæktə(r)],[ˈæktər],https://dict.youdao.com/w/eng/actor/#keyfrom=dict2,n.男演员
actress,[ˈæktrəs],[ˈæktrəs],https://dict.youdao.com/w/eng/actress/#keyfrom=dict2,n.女演员
actual,[ˈæktʃuəl],[ˈæktʃuəl],https://dict.youdao.com/w/eng/actual/#keyfrom=dict2,adj.现实的，实际的
actuality,[ˌæktʃuˈæləti],[ˌæktʃuˈæləti],https://dict.youdao.com/w/eng/actuality/#keyfrom=dict2,n.实际
actually,[ˈæktʃuəli],[ˈæktʃuəli],https://dict.youdao.com/w/eng/actually/#keyfrom=dict2,adv.实际上，居然
acute,[əˈkjuːt],[əˈkjuːt],https://dict.youdao.com/w/eng/acute/#keyfrom=dict2,adj.剧烈的，敏锐的
ad,[æd],[æd],https://dict.youdao.com/w/eng/ad/#keyfrom=dict2,n.(缩)广告
adapt,[əˈdæpt],[əˈdæpt],https://dict.youdao.com/w/eng/adapt/#keyfrom=dict2,v.使适应，改编
adaptation,[ˌædæpˈteɪʃn],[ˌædæpˈteɪʃn],https://dict.youdao.com/w/eng/adaptation/#keyfrom=dict2,n.适应
add,[æd],[æd],https://dict.youdao.com/w/eng/add/#keyfrom=dict2,v.增添，加，补充
addition,[əˈdɪʃn],[əˈdɪʃ(ə)n],https://dict.youdao.com/w/eng/addition/#keyfrom=dict2,n.增加，附加物
additional,[əˈdɪʃən(ə)l],[əˈdɪʃən(ə)l],https://dict.youdao.com/w/eng/additional/#keyfrom=dict2,adj.增加的，附加的
additive,[ˈædətɪv],[ˈædətɪv],https://dict.youdao.com/w/eng/additive/#keyfrom=dict2,adj.附加的 n.添加剂
address,[əˈdres],[əˈdres],https://dict.youdao.com/w/eng/address/#keyfrom=dict2,n.地址 v.致词
adequate,[ˈædɪkwət],[ˈædɪkwət],https://dict.youdao.com/w/eng/adequate/#keyfrom=dict2,adj.足够的，恰当的
adequately,[ˈædɪkwətli],[ˈædɪkwətli],https://dict.youdao.com/w/eng/adequately/#keyfrom=dict2,adv.恰当地
adhere,[ədˈhɪə(r)],[ədˈhɪr],https://dict.youdao.com/w/eng/adhere/#keyfrom=dict2,v.粘附，坚持
adhesive,[ədˈhiːsɪv],[ədˈhiːsɪv],https://dict.youdao.com/w/eng/adhesive/#keyfrom=dict2,n.粘合剂
adjacent,[əˈdʒeɪs(ə)nt],[əˈdʒeɪs(ə)nt],https://dict.youdao.com/w/eng/adjacent/#keyfrom=dict2,adj.邻近的
adjective,[ˈædʒɪktɪv],[ˈædʒɪktɪv],https://dict.youdao.com/w/eng/adjective/#keyfrom=dict2,n.形容词
adjoin,[əˈdʒɔɪn],[əˈdʒɔɪn],https://dict.youdao.com/w/eng/adjoin/#keyfrom=dict2,v.毗连
adjust,[əˈdʒʌst],[əˈdʒʌst],https://dict.youdao.com/w/eng/adjust/#keyfrom=dict2,v.调整，修整
adjustable,[əˈdʒʌstəb(ə)l],[əˈdʒʌstəbl],https://dict.youdao.com/w/eng/adjustable/#keyfrom=dict2,adj.可调整的
adjustment,[əˈdʒʌstmənt],[əˈdʒʌstmənt],https://dict.youdao.com/w/eng/adjustment/#keyfrom=dict2,n.调整
administer,[ədˈmɪnɪstə(r)],[ədˈmɪnɪstər],https://dict.youdao.com/w/eng/administer/#keyfrom=dict2,v.管理
administration,[ədˌmɪnɪˈstreɪʃ(ə)n],[ədˌmɪnɪˈstreɪʃn],https://dict.youdao.com/w/eng/administration/#keyfrom=dict2,n.行政管理，管理机关
administrative,[ədˈmɪnɪstrətɪv],[ədˈmɪnɪstreɪtɪv],https://dict.youdao.com/w/eng/administrative/#keyfrom=dict2,adj.行政管理的
admirable,[ˈædmərəb(ə)l],[ˈædmərəb(ə)l],https://dict.youdao.com/w/eng/admirable/#keyfrom=dict2,adj.可钦佩的
admiration,[ˌædməˈreɪʃ(ə)n],[ˌædməˈreɪʃn],https://dict.youdao.com/w/eng/admiration/#keyfrom=dict2,n.羡慕，钦佩
admire,[ədˈmaɪə(r)],[ədˈmaɪər],https://dict.youdao.com/w/eng/admire/#keyfrom=dict2,v.钦佩，赞美
admission,[ədˈmɪʃ(ə)n],[ədˈmɪʃn],https://dict.youdao.com/w/eng/admission/#keyfrom=dict2,n.准入，承认
admit,[ədˈmɪt],[ədˈmɪt],https://dict.youdao.com/w/eng/admit/#keyfrom=dict2,v.承认，接纳
admittedly,[ədˈmɪtɪdli],[ədˈmɪtɪdli],https://dict.youdao.com/w/eng/admittedly/#keyfrom=dict2,adv.明白地
adolescence,[ˌædəˈles(ə)ns],[ˌædəˈles(ə)ns],https://dict.youdao.com/w/eng/adolescence/#keyfrom=dict2,n.青春期
adolescent,[ˌædəˈles(ə)nt],[ˌædəˈles(ə)nt],https://dict.youdao.com/w/eng/adolescent/#keyfrom=dict2,adj.青春期的
adopt,[əˈdɒpt],[əˈdɑːpt],https://dict.youdao.com/w/eng/adopt/#keyfrom=dict2,v.采用，采纳
adoption,[əˈdɒpʃn],[əˈdɑːpʃ(ə)n],https://dict.youdao.com/w/eng/adoption/#keyfrom=dict2,n.采用
adore,[əˈdɔː(r)],[əˈdɔːr],https://dict.youdao.com/w/eng/adore/#keyfrom=dict2,v.崇拜，敬慕
adorn,[əˈdɔːn],[əˈdɔːrn],https://dict.youdao.com/w/eng/adorn/#keyfrom=dict2,v.装饰，佩带
adornment,[əˈdɔːnmənt],[əˈdɔːrnmənt],https://dict.youdao.com/w/eng/adornment/#keyfrom=dict2,n.装饰(品)
adult,[ˈædʌlt; əˈdʌlt],[əˈdʌlt; ˈædʌlt],https://dict.youdao.com/w/eng/adult/#keyfrom=dict2,n.成年人 adj.成年的
advance,[ədˈvɑːns],[ədˈvæns],https://dict.youdao.com/w/eng/advance/#keyfrom=dict2,n. v.前进
advanced,[ədˈvɑːnst],[ədˈvænst],https://dict.youdao.com/w/eng/advanced/#keyfrom=dict2,adj.先进的，发达的
advantage,[ədˈvɑːntɪdʒ],[ədˈvæntɪdʒ],https://dict.youdao.com/w/eng/advantage/#keyfrom=dict2,n.优点，优势
advantageous,[ˌædvənˈteɪdʒəs],[ˌædvənˈteɪdʒəs],https://dict.youdao.com/w/eng/advantageous/#keyfrom=dict2,adj.有利的，有用的
adventure,[ədˈventʃə(r)],[ədˈventʃər],https://dict.youdao.com/w/eng/adventure/#keyfrom=dict2,n.冒险，惊险活动
adventurous,[ədˈventʃərəs],[ədˈventʃərəs],https://dict.youdao.com/w/eng/adventurous/#keyfrom=dict2,adj.冒险的
adverb,[ˈædvɜːb],[ˈædvɜːrb],https://dict.youdao.com/w/eng/adverb/#keyfrom=dict2,n.副词
adverbial,[ædˈvɜːbiəl],[ædˈvɜːrbiəl],https://dict.youdao.com/w/eng/adverbial/#keyfrom=dict2,adj.副词的
adversary,[ˈædvəsəri],[ˈædvərseri],https://dict.youdao.com/w/eng/adversary/#keyfrom=dict2,adj.敌手，对手
adverse,[ˈædvɜːs],[ədˈvɜːrs],https://dict.youdao.com/w/eng/adverse/#keyfrom=dict2,v.逆的，相反的
adversity,[ədˈvɜːsəti],[ədˈvɜːrsəti],https://dict.youdao.com/w/eng/adversity/#keyfrom=dict2,n.逆境，不幸
advertise,[ˈædvətaɪz],[ˈædvərtaɪz],https://dict.youdao.com/w/eng/advertise/#keyfrom=dict2,v.登广告，推销
advertisement,[ədˈvɜːtɪsmənt],[ˌædvərˈtaɪzmənt],https://dict.youdao.com/w/eng/advertisement/#keyfrom=dict2,n.广告
advertising,[ˈædvətaɪzɪŋ],[ˈædvərtaɪzɪŋ],https://dict.youdao.com/w/eng/advertising/#keyfrom=dict2,adj.广告的
advice,[ədˈvaɪs],[ədˈvaɪs],https://dict.youdao.com/w/eng/advice/#keyfrom=dict2,n.忠告，意见
advisable,[ədˈvaɪzəb(ə)l],[ədˈvaɪzəbl],https://dict.youdao.com/w/eng/advisable/#keyfrom=dict2,adj.适当的，可行的
advise,[ədˈvaɪz],[ədˈvaɪz],https://dict.youdao.com/w/eng/advise/#keyfrom=dict2,v.劝告，通知
adviser,[ədˈvaɪzə(r)],[ədˈvaɪzər],https://dict.youdao.com/w/eng/adviser/#keyfrom=dict2,n.顾问
advocate,[ˈædvəkeɪt],[ˈædvəkeɪt],https://dict.youdao.com/w/eng/advocate/#keyfrom=dict2,v.拥护，提倡
aerial,[ˈeəriəl],[ˈeriəl],https://dict.youdao.com/w/eng/aerial/#keyfrom=dict2,adj.天空的，航空的
aeroplane,[ˈeərəpleɪn],[ˈerəpleɪn],https://dict.youdao.com/w/eng/aeroplane/#keyfrom=dict2,n.飞机
affair,[əˈfeə(r)],[əˈfer],https://dict.youdao.com/w/eng/affair/#keyfrom=dict2,n.事件，事情
affect,[əˈfekt],[əˈfekt],https://dict.youdao.com/w/eng/affect/#keyfrom=dict2,v.影响，改变
affection,[əˈfekʃn],[əˈfekʃ(ə)n],https://dict.youdao.com/w/eng/affection/#keyfrom=dict2,n.友爱，爱慕
affectionate,[əˈfekʃənət],[əˈfekʃənət],https://dict.youdao.com/w/eng/affectionate/#keyfrom=dict2,adj.充满感情的
affiliate,[əˈfɪlieɪt],[əˈfɪlieɪt],https://dict.youdao.com/w/eng/affiliate/#keyfrom=dict2,n.分号(公司)
affirm,[əˈfɜːm],[əˈfɜːrm],https://dict.youdao.com/w/eng/affirm/#keyfrom=dict2,v.断言，肯定
affirmation,[ˌæfəˈmeɪʃn],[ˌæfərˈmeɪʃ(ə)n],https://dict.youdao.com/w/eng/affirmation/#keyfrom=dict2,n.确定，确认
affirmative,[əˈfɜːmətɪv],[əˈfɜːrmətɪv],https://dict.youdao.com/w/eng/affirmative/#keyfrom=dict2,adj.肯定的
afford,[əˈfɔːd],[əˈfɔːrd],https://dict.youdao.com/w/eng/afford/#keyfrom=dict2,v.买得起，经受得起
affordable,[əˈfɔːdəb(ə)l],[əˈfɔːrdəbl],https://dict.youdao.com/w/eng/affordable/#keyfrom=dict2,adj.买得起的
afloat,[əˈfləʊt],[əˈfloʊt],https://dict.youdao.com/w/eng/afloat/#keyfrom=dict2,adj.航行中的
aforesaid,[əˈfɔːsed],[əˈfɔːrˌsed],https://dict.youdao.com/w/eng/aforesaid/#keyfrom=dict2,adj.上述的
afraid,[əˈfreɪd],[əˈfreɪd],https://dict.youdao.com/w/eng/afraid/#keyfrom=dict2,adj.害怕的，恐怕
Africa,[ˈæfrɪkə],[ˈæfrɪkə],https://dict.youdao.com/w/eng/Africa/#keyfrom=dict2,n.非洲
African,[ˈæfrɪkən],[ˈæfrɪkən],https://dict.youdao.com/w/eng/African/#keyfrom=dict2,adj.非洲的 n.非洲人
after,[ˈɑːftə(r)],[ˈæftər],https://dict.youdao.com/w/eng/after/#keyfrom=dict2,prep.在后
afternoon,[ˌɑːftəˈnuːn],[ˌæftərˈnuːn],https://dict.youdao.com/w/eng/afternoon/#keyfrom=dict2,n.下午
afterward,[ˈɑːftəwəd],[ˈæftərwərd],https://dict.youdao.com/w/eng/afterward/#keyfrom=dict2,adv.后来
again,[əˈɡen],[əˈɡen; əˈɡeɪn],https://dict.youdao.com/w/eng/again/#keyfrom=dict2,adv.再，又
against,[əˈɡenst],[əˈɡenst],https://dict.youdao.com/w/eng/against/#keyfrom=dict2,prep.反对，对着
age,[eɪdʒ],[eɪdʒ],https://dict.youdao.com/w/eng/age/#keyfrom=dict2,n.年龄，时代
agency,[ˈeɪdʒənsi],[ˈeɪdʒənsi],https://dict.youdao.com/w/eng/agency/#keyfrom=dict2,n.代理，代理处
agent,[ˈeɪdʒənt],[ˈeɪdʒənt],https://dict.youdao.com/w/eng/agent/#keyfrom=dict2,n.代理人，试剂
aggravate,[ˈæɡrəveɪt],[ˈæɡrəveɪt],https://dict.youdao.com/w/eng/aggravate/#keyfrom=dict2,v.加重，恶化
aggravation,[ˌæɡrəˈveɪʃn],[ˌæɡrəˈveɪʃ(ə)n],https://dict.youdao.com/w/eng/aggravation/#keyfrom=dict2,n.加重，恶化
aggregate,[ˈæɡrɪɡət],[ˈæɡrɪɡət],https://dict.youdao.com/w/eng/aggregate/#keyfrom=dict2,v. & n. & adj.合计(的)
aggregation,[ˌæɡrɪˈɡeɪʃn],[ˌæɡrɪˈɡeɪʃn],https://dict.youdao.com/w/eng/aggregation/#keyfrom=dict2,n.总计，集合
aggression,[əˈɡreʃ(ə)n],[əˈɡreʃn],https://dict.youdao.com/w/eng/aggression/#keyfrom=dict2,n.侵略
aggressive,[əˈɡresɪv],[əˈɡresɪv],https://dict.youdao.com/w/eng/aggressive/#keyfrom=dict2,adj.侵略的，进取的
aggressor,[əˈɡresə(r)],[əˈɡresər],https://dict.youdao.com/w/eng/aggressor/#keyfrom=dict2,n.侵略者
agitate,[ˈædʒɪteɪt],[ˈædʒɪteɪt],https://dict.youdao.com/w/eng/agitate/#keyfrom=dict2,v.鼓动
agitation,[ˌædʒɪˈteɪʃn],[ˌædʒɪˈteɪʃn],https://dict.youdao.com/w/eng/agitation/#keyfrom=dict2,n.鼓动，不安
ago,[əˈɡəʊ],[əˈɡoʊ],https://dict.youdao.com/w/eng/ago/#keyfrom=dict2,adv.以前
agonize,[ˈæɡənaɪz],[ˈæɡənaɪz],https://dict.youdao.com/w/eng/agonize/#keyfrom=dict2,v.使痛苦
agony,[ˈæɡəni],[ˈæɡəni],https://dict.youdao.com/w/eng/agony/#keyfrom=dict2,n.苦恼，痛苦
agree,[əˈɡriː],[əˈɡriː],https://dict.youdao.com/w/eng/agree/#keyfrom=dict2,v.同意，一致认为
